Age,Gender,Location,Account_Type,Tenure,Contract_Status,Income,Spending_Score,Churn
31,Male,City,Checking,7,2-Year,67101.88800508474,5.623615990693347,0
52,Male,Rural,Savings,6,1-Year,39474.20771360406,6.7673591605477545,0
37,Female,Suburb,Checking,5,2-Year,79571.65679360385,4.6186642267615285,1
47,Male,City,Savings,3,1-Year,74825.80855951544,9.63814403122669,1
21,Female,Rural,Savings,8,Month-to-Month,26032.151637791205,7.929554752585467,0
43,Male,City,Savings,10,Month-to-Month,37167.39288535485,2.066674391127836,0
36,Male,Rural,Checking,2,Month-to-Month,27749.2493194159,9.454498888093763,0
63,Female,Suburb,Savings,5,2-Year,85464.8895980003,1.5892610330841808,0
31,Male,Suburb,Savings,4,1-Year,49197.28619494322,5.59350053699302,0
25,Female,City,Savings,1,2-Year,41622.03487386099,6.340344693267282,0
27,Female,City,Checking,1,2-Year,50968.32516438367,1.645194575998925,1
18,Male,Suburb,Savings,2,Month-to-Month,34766.28180450413,6.84696672783405,1
44,Female,Suburb,Savings,5,2-Year,86693.34118081926,4.555286528096324,1
53,Male,Rural,Checking,10,Month-to-Month,81429.86133395348,1.8044610167465942,1
24,Male,City,Checking,1,1-Year,70208.98924706389,5.05024171509206,0
47,Male,Suburb,Checking,3,2-Year,94489.08083488067,3.1143202842241866,1
36,Male,Suburb,Checking,2,2-Year,65485.3573245111,3.193593164158819,1
21,Female,Rural,Savings,5,1-Year,80774.55567477262,3.958357424859927,1
24,Male,City,Checking,1,2-Year,90900.37849647418,2.050138268139831,0
19,Female,Rural,Savings,10,1-Year,32625.33448413916,2.57949863944793,1
57,Female,Rural,Savings,6,Month-to-Month,80841.93950053156,5.759957972772709,0
27,Female,Suburb,Savings,4,Month-to-Month,89009.50421729883,3.2989575928523696,1
26,Male,City,Savings,7,Month-to-Month,98188.45772673,5.565516003831692,1
62,Female,City,Checking,8,1-Year,38844.38091917071,7.660944475897229,1
30,Female,Rural,Savings,8,Month-to-Month,80198.66842283556,6.80267635460053,1
62,Female,Suburb,Savings,8,2-Year,81295.7223956691,2.7572687925326425,0
63,Male,Rural,Savings,4,1-Year,39106.31038977354,6.199350886420932,0
26,Female,Rural,Checking,8,1-Year,66772.09972471729,8.377753856025171,0
18,Male,City,Checking,4,2-Year,95376.53309564717,3.3658566944392776,0
28,Female,City,Savings,8,2-Year,32714.272916182956,1.5468290819368118,0
28,Male,Rural,Savings,6,2-Year,56471.72163697412,1.7757370335462375,1
42,Male,City,Checking,8,Month-to-Month,93688.0293482056,1.354103159892767,0
52,Male,Suburb,Checking,9,2-Year,55695.91292544709,1.2709123625954266,1
58,Female,Suburb,Savings,7,Month-to-Month,29296.314295762677,5.807727143301159,0
29,Male,City,Checking,5,2-Year,64785.24998748284,5.89311889259291,1
51,Male,Rural,Savings,6,2-Year,27732.886311616785,9.221597515240697,1
45,Male,Suburb,Savings,4,Month-to-Month,26281.334700360883,8.076790646740086,1
18,Female,Rural,Savings,10,2-Year,75261.97067557421,6.6641072212578365,1
50,Male,Suburb,Checking,1,1-Year,66732.11651038635,8.122682593768195,0
30,Male,Suburb,Checking,8,Month-to-Month,33915.84324279091,2.240393043815528,1
54,Female,City,Savings,8,Month-to-Month,46446.494437473666,8.761763006408621,1
63,Male,City,Savings,3,Month-to-Month,36617.91925847996,7.6811739642835954,0
45,Male,Suburb,Checking,6,Month-to-Month,78772.05848034334,1.3140452480735116,0
20,Female,Rural,Savings,1,1-Year,27999.610307766787,2.838833572541294,1
50,Female,Rural,Savings,7,1-Year,89491.18101624532,4.16122134356419,0
30,Male,City,Savings,8,2-Year,83071.46120082063,7.567849929575046,1
37,Male,City,Checking,6,2-Year,54609.364087268594,8.932649455903224,1
51,Female,Suburb,Checking,7,2-Year,86242.4659463032,6.764548962006569,0
27,Male,City,Checking,7,Month-to-Month,88796.53587276976,5.143555016724258,0
58,Male,Suburb,Checking,7,2-Year,70481.88891697541,3.605152673298703,0
24,Male,Rural,Checking,5,2-Year,45007.157233575876,5.646343744233736,1
55,Male,Rural,Checking,6,2-Year,79139.65993910315,4.322388231058717,1
34,Female,City,Checking,6,Month-to-Month,99264.6860029375,4.49085671880514,0
36,Female,City,Savings,7,2-Year,47905.24013445916,6.076519487039131,1
36,Male,Suburb,Savings,9,2-Year,75871.62477239255,5.008624060051503,0
18,Male,City,Checking,6,1-Year,59783.101742345476,7.072431703673613,0
50,Female,Rural,Checking,8,Month-to-Month,42224.09427559515,8.965578843165826,1
44,Male,City,Checking,9,2-Year,74492.06026201419,7.073143804609564,0
34,Male,Suburb,Savings,4,2-Year,66054.27192421998,3.4244187507029507,1
31,Female,City,Checking,7,Month-to-Month,56695.53644369521,3.2517877695193054,1
22,Male,Suburb,Checking,2,Month-to-Month,77756.37511784938,7.432724387392295,1
37,Female,Rural,Checking,5,2-Year,48329.808824314605,4.659821845735365,0
33,Male,Suburb,Checking,2,Month-to-Month,41618.47486659255,5.652360683782702,1
55,Female,City,Savings,9,Month-to-Month,68279.65541708437,2.1643489111979966,0
20,Male,Suburb,Checking,7,2-Year,28504.293896091593,7.047677959971343,1
36,Male,Suburb,Checking,8,2-Year,38158.05098012673,9.090459966130908,0
28,Male,Suburb,Savings,9,2-Year,59324.34268568681,4.609763044161494,0
23,Female,City,Savings,4,2-Year,28104.655947256622,6.297591438272351,0
32,Male,Rural,Savings,10,1-Year,57586.178661559614,5.710841377334204,1
49,Female,City,Checking,1,1-Year,40682.68504767293,5.386268160920098,1
59,Male,City,Checking,6,2-Year,34486.608824142786,2.1645017419258576,1
26,Male,City,Savings,9,Month-to-Month,77456.47302433325,4.496398465904288,0
40,Female,City,Checking,10,2-Year,81745.79403997448,3.3458606640575104,1
60,Female,Rural,Checking,8,Month-to-Month,48965.3046050003,6.227327951212611,0
58,Male,Rural,Savings,3,Month-to-Month,79105.88001061032,1.3731409655740412,1
60,Female,Suburb,Checking,9,2-Year,71266.92607919399,1.2329402677907009,0
23,Male,Suburb,Savings,3,2-Year,51005.65790556142,4.0105666699505225,1
40,Male,Rural,Checking,2,1-Year,76544.28943194888,1.5450482527658462,0
58,Male,City,Checking,1,2-Year,50418.09802602387,4.2390057440390505,0
34,Female,Rural,Savings,9,2-Year,84676.01636940407,6.985778156399638,0
36,Female,Suburb,Savings,6,2-Year,59461.768595796995,6.58426689277101,1
40,Male,Rural,Checking,7,1-Year,69089.79829632494,6.403438409087393,0
40,Female,Suburb,Checking,2,Month-to-Month,70516.2423542215,3.02154808307203,0
33,Male,City,Checking,10,1-Year,92724.61855323437,2.0133297110658672,1
64,Female,City,Checking,8,1-Year,32930.68230917209,6.2351232095424365,0
40,Male,Rural,Savings,1,Month-to-Month,72998.53950897319,4.351684679195795,0
53,Female,Rural,Savings,10,1-Year,30446.260650878925,4.166482073623717,1
49,Male,Rural,Savings,7,2-Year,91909.63673976685,7.000618268999291,0
25,Female,Suburb,Checking,8,1-Year,80392.69985243623,3.318675372890451,0
38,Female,Rural,Checking,10,1-Year,91465.68391841245,8.921665242654214,1
19,Male,Suburb,Savings,7,Month-to-Month,37852.63470487509,7.455991715263103,0
55,Male,Rural,Savings,10,Month-to-Month,81701.9615500713,9.320800766656621,0
36,Female,Rural,Savings,5,1-Year,53631.55359371884,6.19050563000472,0
35,Female,City,Checking,9,Month-to-Month,32622.761499990815,5.099685289385583,0
37,Female,City,Checking,9,2-Year,66571.00940777021,1.5417540400897476,1
58,Female,Suburb,Checking,1,1-Year,94786.15362502814,2.7805422373022624,1
34,Male,Suburb,Checking,9,2-Year,41410.40051691278,6.987865623745999,0
26,Male,Rural,Savings,7,Month-to-Month,31545.616986999914,2.6542688196961963,1
35,Female,City,Savings,7,2-Year,69030.98363336109,6.143178732191682,1
50,Male,Suburb,Savings,1,1-Year,47733.31171589292,1.963420564665569,1
58,Female,City,Savings,7,Month-to-Month,64300.27434919288,9.62774672989101,0
39,Male,City,Checking,1,Month-to-Month,50524.29154691115,2.0302751608537912,1
26,Male,Rural,Checking,8,2-Year,41019.855510604786,1.9757195979429776,0
39,Male,City,Checking,2,2-Year,73547.12521642144,2.126345726407303,0
47,Female,City,Checking,7,2-Year,30955.614859274192,7.166186038842303,1
58,Female,Suburb,Savings,7,Month-to-Month,86661.50890909001,9.720029360836904,1
47,Female,Rural,Checking,1,1-Year,67020.47684741617,8.656508365230115,0
35,Female,City,Savings,1,Month-to-Month,40810.39343672307,7.354838241405147,1
62,Female,Rural,Checking,7,1-Year,48438.6836520996,9.016820138618966,1
54,Female,City,Savings,6,2-Year,64649.13612731049,2.5754226343534836,0
59,Female,City,Savings,6,2-Year,33943.85002905833,4.684712302372651,0
52,Female,Suburb,Checking,7,2-Year,37857.80293543229,7.768613676203085,1
36,Male,Suburb,Savings,2,Month-to-Month,20638.608258967663,8.369892825329998,1
61,Male,Suburb,Checking,7,Month-to-Month,94574.21114322642,8.473522240579339,0
32,Female,Rural,Savings,6,1-Year,45081.30521119459,7.590741088845241,0
64,Male,Rural,Checking,3,Month-to-Month,24529.787248038985,1.890220520140904,1
40,Male,Rural,Savings,8,Month-to-Month,28908.03488635375,9.85639234892333,0
31,Male,Suburb,Savings,8,1-Year,42565.5820531047,6.492449391235739,1
61,Female,Suburb,Checking,5,2-Year,62135.29729337221,7.645522588078885,0
56,Male,Suburb,Checking,5,2-Year,43235.70693502699,4.239972296455183,1
62,Male,Rural,Savings,4,Month-to-Month,47980.21277135521,7.595878556694762,1
18,Male,Rural,Savings,2,Month-to-Month,27099.37563644936,9.667788752383327,0
27,Female,Rural,Checking,1,2-Year,92402.94126639058,9.077432691916755,0
38,Female,Rural,Checking,6,1-Year,79672.85066366875,6.510108082170376,0
24,Male,Suburb,Checking,8,1-Year,61435.59360620512,8.257388829184649,0
36,Female,Rural,Checking,8,Month-to-Month,77187.42443681613,7.170594933335659,1
